f,DU -X,DU Li Vo X,DU Li Hi X,DU Re -X
0,7.768E-4,7.969E-4,0.004004,0.002411
1,0.002393,0.001043,0.002567,0.004543
2,0.01221,0.01641,0.008575,0.0117
3,0.05179,0.07396,0.032,0.02682
4,0.0372,0.05726,0.04657,0.03889
5,0.05029,0.03767,0.05009,0.06283
6,0.04968,0.04438,0.035,0.04017
7,0.07027,0.05659,0.04509,0.04069
8,0.09445,0.07725,0.09761,0.06379
9,0.1388,0.09489,0.1536,0.12
10,0.321,0.2151,0.3293,0.2711
11,0.1511,0.1587,0.1787,0.1452
12,0.288,0.2852,0.3322,0.3004
13,0.3901,0.6592,0.7198,0.3894
14,0.3938,0.7945,0.7576,0.3966
15,0.5167,0.1952,0.4082,0.4296
16,0.2675,0.233,0.3842,0.25
17,0.2689,0.1794,0.3737,0.3054
18,0.1486,0.1781,0.2848,0.1946
19,0.277,0.2591,0.6977,0.4223
20,0.2269,0.1763,0.4868,0.2627
21,0.2059,0.2186,0.3612,0.2197
22,0.2403,0.183,0.3686,0.2209
23,0.6028,0.1495,0.4892,0.4741
24,1.113,0.2417,1.06,0.9106
25,0.6591,0.2881,0.8717,0.7026
26,0.6306,0.6932,0.9345,0.5345
27,0.5251,0.4889,1.126,0.58
28,1.197,0.3847,0.6093,0.5846
29,1.426,0.557,0.6841,0.6313
30,0.8066,0.4501,0.4144,0.3731
31,0.5284,0.3058,0.4169,0.2836
32,0.4501,0.349,0.3767,0.2396
33,0.2815,0.2913,0.335,0.1685
34,0.2257,0.2404,0.1615,0.1288
35,0.1169,0.1738,0.2234,0.07414
36,0.1543,0.2014,0.1214,0.07202
37,0.143,0.1352,0.1869,0.1232
38,0.1301,0.135,0.1022,0.06892
39,0.1096,0.1317,0.1298,0.0672
40,0.1492,0.1574,0.1581,0.11
41,0.1563,0.1137,0.06365,0.09415
42,0.1119,0.08895,0.07671,0.06371
43,0.0969,0.07522,0.1014,0.08429
44,0.05152,0.05528,0.06604,0.0434
45,0.07016,0.07206,0.09351,0.05334
46,0.09015,0.0787,0.09932,0.06632
47,0.1109,0.1176,0.1555,0.1096
48,0.1245,0.1285,0.2059,0.1541
49,0.1457,0.1622,0.1056,0.09358
50,0.184,0.1654,0.1195,0.1262
51,0.2253,0.2897,0.2244,0.184
52,0.3314,0.368,0.4279,0.3435
53,0.1897,0.2651,0.2801,0.1866
54,0.1222,0.1644,0.1769,0.1183
55,0.08478,0.1035,0.096,0.06787
56,0.16,0.158,0.1455,0.138
57,0.1531,0.1513,0.1859,0.1004
58,0.1146,0.1179,0.1262,0.1068
59,0.05255,0.05606,0.09302,0.07413
60,0.07072,0.06207,0.107,0.08957
61,0.06987,0.05247,0.1161,0.05194
62,0.04155,0.04342,0.1383,0.03448
63,0.05037,0.03616,0.2479,0.04443
64,0.04257,0.03962,0.2382,0.04702
65,0.03293,0.04595,0.1249,0.03684
66,0.02537,0.03784,0.03722,0.01592
67,0.02034,0.02482,0.04983,0.03698
68,0.02794,0.03816,0.03402,0.02483
69,0.03003,0.02858,0.03395,0.02034
70,0.02619,0.03006,0.03529,0.03125
71,0.01496,0.024,0.02813,0.02504
72,0.01455,0.0245,0.01758,0.009475
73,0.01512,0.02089,0.01415,0.009939
74,0.01538,0.01974,0.01739,0.01203
75,0.01567,0.01992,0.01923,0.01403
76,0.01614,0.01768,0.01846,0.01326
77,0.01596,0.01814,0.01213,0.01659
78,0.01679,0.01246,0.01443,0.01596
79,0.01421,0.0133,0.02336,0.01319
80,0.00945,0.01157,0.01804,0.008966
81,0.01258,0.01945,0.01315,0.007055
82,0.01333,0.02277,0.01747,0.008041
83,0.01256,0.01601,0.01932,0.009821
84,0.02501,0.02478,0.01696,0.01339
85,0.03868,0.03289,0.02447,0.01436
86,0.03631,0.03021,0.0391,0.02241
87,0.03316,0.02797,0.03505,0.01462
88,0.04902,0.03639,0.01852,0.01308
89,0.03551,0.03786,0.03458,0.02058
90,0.02663,0.02175,0.04643,0.03322
91,0.01267,0.01517,0.04686,0.03738
92,0.02835,0.036,0.03918,0.03533
93,0.02194,0.0237,0.02421,0.04161
94,0.02112,0.02233,0.0378,0.02558
95,0.02182,0.01947,0.03849,0.02252
96,0.02217,0.02565,0.03441,0.04535
97,0.01738,0.01993,0.104,0.07721
98,0.02603,0.03501,0.07802,0.0603
99,0.01632,0.01861,0.06652,0.0489
100,0.01652,0.01643,0.06422,0.05235
101,0.01847,0.02676,0.07118,0.05828
102,0.02345,0.02116,0.05163,0.07758
103,0.02678,0.02306,0.04515,0.0642
104,0.02713,0.03073,0.03753,0.03103
105,0.04606,0.05963,0.05705,0.02817
106,0.03513,0.03644,0.1016,0.02718
107,0.02142,0.02516,0.07744,0.0271
108,0.03031,0.02951,0.06625,0.02957
109,0.01907,0.02036,0.04167,0.04668
110,0.01595,0.01384,0.0944,0.05117
111,0.03377,0.03097,0.103,0.04979
112,0.02234,0.02475,0.06287,0.0323
113,0.01986,0.01982,0.07852,0.03635
114,0.02373,0.02329,0.04918,0.04799
115,0.02383,0.02347,0.08139,0.0216
116,0.03214,0.0298,0.07976,0.04168
117,0.02165,0.01933,0.04262,0.02314
118,0.02559,0.02003,0.04311,0.02582
119,0.06487,0.05042,0.05847,0.02676
120,0.04422,0.0242,0.03693,0.01892
121,0.03336,0.02782,0.06301,0.02657
122,0.03901,0.03502,0.06151,0.02557
123,0.05609,0.04397,0.1087,0.02593
124,0.04977,0.02898,0.1121,0.02598
125,0.03339,0.02684,0.1153,0.03211
126,0.03429,0.03412,0.06107,0.01569
127,0.04314,0.04157,0.06914,0.0207
128,0.04025,0.03674,0.07435,0.01778
129,0.03352,0.03292,0.07745,0.03153
130,0.03339,0.02852,0.08491,0.03054
131,0.03511,0.03631,0.06671,0.01492
132,0.03069,0.02284,0.07287,0.01096
133,0.05908,0.04003,0.06313,0.007991
134,0.02753,0.01844,0.06221,0.02109
135,0.02561,0.021,0.06244,0.02053
136,0.02789,0.02026,0.04506,0.01567
137,0.02184,0.01461,0.03017,0.01104
138,0.02206,0.01478,0.04198,0.01238
139,0.02269,0.01734,0.03105,0.0103
140,0.01823,0.01408,0.03611,0.006922
141,0.02823,0.02208,0.04788,0.01206
142,0.0301,0.02276,0.05085,0.008068
143,0.02798,0.02358,0.04399,0.009541
144,0.02362,0.02594,0.05253,0.01307
145,0.04466,0.04501,0.09276,0.0177
146,0.02612,0.02489,0.1231,0.0322
147,0.02428,0.02288,0.04763,0.01755
148,0.02508,0.01801,0.04871,0.01984
149,0.031,0.03145,0.06504,0.01587
150,0.01815,0.01754,0.0545,0.019
151,0.01928,0.01384,0.04391,0.01552
152,0.02228,0.02225,0.04424,0.01609
153,0.0308,0.02674,0.04387,0.01236
154,0.02162,0.02176,0.06758,0.01578
155,0.02407,0.01918,0.04952,0.01899
156,0.01542,0.01466,0.03703,0.02561
157,0.01084,0.009911,0.02727,0.02487
158,0.01399,0.01506,0.02383,0.02245
159,0.008255,0.006405,0.0232,0.01668
160,0.009555,0.007724,0.02529,0.01516
161,0.00884,0.00676,0.01558,0.009871
162,0.01349,0.009682,0.02908,0.009687
163,0.01199,0.007468,0.03614,0.01093
164,0.005685,0.003492,0.02573,0.01036
165,0.00553,0.004967,0.02255,0.01478
166,0.009802,0.006177,0.03716,0.01267
167,0.007952,0.004033,0.01891,0.01041
168,0.01184,0.009359,0.01062,0.009606
169,0.009507,0.009996,0.01012,0.009189
170,0.009955,0.00981,0.02084,0.0158
171,0.008187,0.006721,0.02066,0.02194
172,0.011,0.009775,0.02387,0.02817
173,0.008143,0.007264,0.02722,0.03281
174,0.01839,0.01771,0.05251,0.03205
175,0.01644,0.0141,0.05553,0.02078
176,0.01282,0.009268,0.05499,0.02036
177,0.0191,0.02004,0.02504,0.01616
178,0.01321,0.00949,0.02664,0.01684
179,0.01624,0.009724,0.052,0.03189
180,0.02064,0.009721,0.03625,0.03253
181,0.01597,0.00966,0.02336,0.01784
182,0.02301,0.01617,0.03183,0.01928
