Stress S [Mpa]	Cycles N [-]
284.39285	1369000
284.39285	10000000
284.39285	10000000
284.39285	10000000
284.39285	10000000
294.1995	411000
294.1995	10000000
294.1995	10000000
294.1995	10000000
294.1995	2295000
304.00615	570000
304.00615	7868000
304.00615	1745000
304.00615	10000000
304.00615	502000
313.8128	727000
313.8128	231000
313.8128	1826000
313.8128	1943000
313.8128	413000
323.61945	1842000
323.61945	2200000
323.61945	166000
323.61945	312000
323.61945	981000
333.4261	397000
333.4261	532000
333.4261	326000
333.4261	146000
333.4261	763000
